category,name,twitter_username
$40,Acorn (The),AcornVancouver
$40,Al Porto Ristorante,AlPortoItaliano
$40,Ancora Waterfront Dining,ancoradining
$40,AnnaLena,annalenayvr
$40,ARC Restaurant - The Fairmont Waterfront,ARCdining
$40,Arms Reach Bistro,armsreachbistro
$40,Arriva Restaurant,
$40,Bacchus Restaurant & Lounge- Wedgewood Hotel & Spa,bacchusTeam
$40,Bambudda,bambuddagastown
$40,Baru Latino Restaurante,BaruLatino
$40,Beach Bay Café and Patio,beachbaycafe
$40,Biercraft Cambie,biercraft
$40,Biercraft Wesbrook Village,biercraft
$40,Bin 941 Tapas Parlour,bin941
$40,Bishop's,BishopsOnline
$40,Bistro Pastis,pastisvan
$40,BISTRO SAKANA Neo Japonesque Sushi & Tapas,BistroSakana
$40,Black + Blue,Glowbal_Group
$40,Blue Martini Jazz Cafe,bluemartinivan
$40,Boulevard Kitchen & Oyster Bar,blvdyvr
$40,"Bridges Restaurant, Bistro & Bar",bridgesgi
$40,Brix & Mortar,brixvan
$40,CACAO,cacaovancouver
$40,Cactus Club Cafe - Coal Harbour,cactusclubcafe
$40,Cafe II Nido,cafeilnido
$40,Cafe One - Sheraton Vancouver Wall Centre Hotel,
$40,Carver's Steakhouse,carversrichmond
$40,Chambar Restaurant,chambar
$40,Chi Modern Vietnamese Kitchen,
$40,Chill Winston,chillwinston
$40,Chop Steakhouse & Bar,chopsteakhouse
$40,Ciao Bella Restaurant Ltd.,ciaobellavan
$40,CinCin Ristorante + Bar,cincinvan
$40,COAST Restaurant,Glowbal_Group
$40,Copper Chimney - Executive Hotel Le Soleil,hotellesoleilbc
$40,Cuchillo,cuchilloyvr
$40,"DIVA at the Met - Metropolitan Hotel, Vancouver",diva_met
$40,Dockside Restaurant - Granville Island Hotel,eatdockside
$40,East is East Chai Lounge - Broadway,
$40,East is East Chai Lounge - Main Street,
$40,e.b.o restaurant & lounge in the Delta Burnaby,eborestaurant
$40,Federico's Supper Club,FedericosClub
$40,Francesco's Ristorante Italia,donfrancescos
$40,GLOWBAL at Telus Garden,Glowbal_Group
$40,Gyu King Teppanyaki,
