sender,tweet_text,tweet_id
Raquel_Pastel,Bisón asado con yuca y chimichurri rojo de Jair Tellez y Jefferson Alvarez para @DineOutVanFest 🍴🍁 #VeryVancouver https://t.co/xSokmY3TDj,823054892260474880
elgourmetmexico,"Pichón con chocolate, café y Tona en #Cacao durante @DineOutVanFest con Jair Tellez y Jefferson Alvarez.… https://t.co/nJGAFPTjah",823049786232184832
LammieLoves,Dinner tonight @maenam. Love this place! #dovf #mydineoutstory #DineOutVancouver https://t.co/3vjoTbpIzy,823038749562896386
ShingoKido,Loving the #bannock @SnBVancouver! @DineOutVanFest #dovf #mydineoutstory https://t.co/KVHNm5y6EY,823035523220443136
vancitydrinks,@DineOutVanFest continues @ButcherAndBull #Cheers #Cocktails #LocalHangout #Vancouver https://t.co/Aarkq8cckx,823034430436491264
CaffeCanadiano,@forageVancouver @DineOutVanFest #dovf #MyDineOutStory https://t.co/l06ZmLufke,823034039124668416
tararobertson,"went to @La_Pentola food was delicious, service was pretty bad. wonder if it was because we were there for #dineoutvancouver?",823033370087014405
elgourmetmexico,@chef_alvarez y Jaír Tellez de #Amaya están juntos en #Cacao para @DineOutVanFest https://t.co/Qbceess9pq,823032028798926848
seapotato,"Crispy pork belly. 🙄

@dineoutvanfest has started and I went to Oceans 999 @panpacificvan… https://t.co/moSPzTAcUk",823031298096766976
mkd99,Thank you @westrestaurant for a wonderful evening. The food was delicious!  @DineOutVanFest   You made our anniversary most memorable!,823030837926993921
kittycat619,Dine Out Vancouver Day 2 😋@BistroPastisVan @DineOutVanFest https://t.co/oelHsrJUzm,823030726748618753
orujao_h,"It's Timber Time!!!!
Gorgeous 'n tender Bison sirloin steak 😋

@dineoutvanfest
Thank you,… https://t.co/MQele3l1j6",823029799207583745
seapotato,It's @DineOutVanFest season! I went to Oceans 999 @panpacificvan tonight! https://t.co/EsaAJ8ikBf #DOVF #MyDineOutStory,823029524455489536
